Unit,ProsesBisnis,HRIS,InternalKemenkeu,Eksternal,StatusImplementasi,StatusPengembangan
Mutasi dan Kepangkatan,Administrasi Internal Job Vacancy,,Internal Job Vacancy,,Implementasi,Finished
Mutasi dan Kepangkatan,Administrasi Internal Job Vacancy,,Aplikasi Verifikasi Berkas IJV,,Implementasi,Finished
Mutasi dan Kepangkatan,Penugasan,Dashboard Penugasan,,,,Pembangunan
Pengembangan SDM,Penugasan,Monitoring Kepala Perwakilan dan Sekretariat Perwakilan,,,,N/A
Pengembangan SDM,Penugasan,Dashboard Non Eselon,,,Implementasi,
Pengembangan SDM,Manajemen Talenta,Manajemen Talenta,,,Belum Implementasi,Pengembangan
Pengembangan SDM,Kenaikan Pangkat,SK Kenaikan Pangkat,,,Implementasi,Backlog
"Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi",Cuti,Cuti,,,Implementasi,Finished
"Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi",Izin Luar Negeri,Izin Luar Negeri,,,Implementasi,
"Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi",Penghargaan Pegawai,Penghargaan Pegawai,,,,N/A
"Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi",Penghargaan Pegawai,,Penghargaan Pegawai/ Instant Reward (OA),,Implementasi,
"Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi",Monitoring Vaksin,Riwayat Vaksin,,,Implementasi,
"Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi",Kenaikan Gaji Berkala,KGB,,,Semi Implementasi,
"Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi",Hukuman Disiplin,Integrated Drafting,,,Belum Implementasi,Pengembangan
"Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi",Hukuman Disiplin,Integrasi HRIS dan e-Hukdis,e-Hukdis,,,Pembangunan
"Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi",Kode Etik dan Kode Perilaku,,,,,N/A
"Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi",Izin dan Pelaporan Keluarga,Laporan Perkawinan,,,,Backlog
"Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi",Perizinan Kehadiran,Presensi,,,Implementasi,Finished
"Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi",Perizinan Kehadiran,,Presensi (OA),,Implementasi,Finished
"Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi",Manajemen Pemberhentian Pegawai,Amber (Aplikasi Manajemen Pemberhentian),,,Belum Implementasi,Finished
Pembangunan Karakter dan Budaya SDM,Konseling,,Konseling,,,Backlog
(Eksternal Biro SDM) Pusintek,Digital Signature,Registrasi DS,,,Implementasi,
(Eksternal Biro SDM) Pusintek,Manajemen Role,,,,,
(Eksternal Biro SDM) Organta,Data Referensi,Ref. Organisasi dan Jabatan,,,Semi Implementasi,N/A
(Eksternal Biro SDM) DJPB,Keuangan,Modul Keuangan,,,,
